File Path                                                                                                                                                       , Part                , TargetClockPeriod, Best-caseLatency, Worst-caseLatency, BRAM_18K, LUT  , DSP, FF   , Avialable_BRAM_18K, Avialable_LUT, Avialable_DSP, Avialable_FF
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_axis_array_stream_no_side_channel_data/project/solution1/syn/report/csynth.xml    , xcu280-fsvh2892-2L-e,             10.00, 53              , 53               ,        0,   131,   0,    43,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_axi_stream_with_custom_side_channel_data_2/project/solution1/syn/report/csynth.xml, xcu280-fsvh2892-2L-e,             10.00, 1               , 1                ,        0,    56,   0,     2,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/array_partition_block_cyclic/project/solution1/syn/report/csynth.xml                    , xcu280-fsvh2892-2L-e,             10.00, 530             , 1066             ,        3,  7718,  63,  3691,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/unsynchronized_io_maxi/project/solution1/syn/report/csynth.xml                          , xcu280-fsvh2892-2L-e,             10.00, 9               , 9                ,        4,  1494,   4,  1134,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/burst_rw/project/solution1/syn/report/csynth.xml                                        , xcu280-fsvh2892-2L-e,             10.00, 3               , 50689            ,        3,  1898,   0,  1439,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_axi_stream_with_side_channel_data/project/solution1/syn/report/csynth.xml         , xcu280-fsvh2892-2L-e,             10.00, 1               , 1                ,        0,    75,   0,     2,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/lmem_2rw/project/solution1/syn/report/csynth.xml                                        , xcu280-fsvh2892-2L-e,             10.00, 9               , 16549            ,        8,  2476,   0,  1723,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/merge_load_balance/project/solution1/syn/report/csynth.xml                              , xcu280-fsvh2892-2L-e,             10.00, 66              , 66               ,        0,   504,   0,   175,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/hier_func/project/solution1/syn/report/csynth.xml                                       , xcu280-fsvh2892-2L-e,             10.00, 0               , 0                ,        0,    78,   0,     0,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_C++_templates_for_multiple_instances/project/solution1/syn/report/csynth.xml      , xcu280-fsvh2892-2L-e,             10.00, 0               , 0                ,        0,   407,   0,   326,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_stream_as_sync/project/solution1/syn/report/csynth.xml                            , xcu280-fsvh2892-2L-e,             10.00, undef           , undef            ,        2,  2044,   0,  1815,               4032,       1303680,          9024,      2607360
